Date,Upstream Depth (ft),Downstream Depth (ft)
2016-01-12,1.3199999999999998,
2016-01-12,1.31,
2016-01-14,,4.08
2016-01-14,,4.08
2016-02-26,1.3199999999999998,4.18
2016-02-26,1.3199999999999998,4.18
2016-02-26,1.33,4.18
2016-02-26,1.33,4.18
2016-04-06,,4.04
2016-04-06,,4.04
2016-04-07,1.29,
2016-04-07,1.3,
2016-05-12,1.55,4.6
2016-05-12,1.55,4.6
2016-05-12,1.55,4.6
2016-05-12,1.55,4.6
2016-06-24,2.74,7.13
2016-06-24,2.74,7.14
2016-06-24,2.73,7.13
2016-06-24,2.73,7.14
2016-06-27,1.35,4.25
2016-06-27,1.35,4.24
2016-06-27,1.3599999999999999,4.25
2016-06-27,1.3599999999999999,4.24
2016-07-27,1.66,
2016-07-27,1.65,
2016-07-28,,5.36
2016-07-28,,5.36
2016-09-06,2.06,5.65
2016-09-06,2.06,5.64
2016-09-06,2.08,5.65
2016-09-06,2.08,5.64
2016-10-18,1.29,4.21
2016-10-18,1.29,4.2
2016-10-18,1.29,4.21
2016-10-18,1.29,4.2
2016-11-29,1.31,
2016-11-29,1.3199999999999998,
2016-11-30,,4.48
2016-11-30,,4.47
2016-12-21,1.22,
2016-12-21,1.22,
2016-12-28,,4.37
2016-12-28,,4.38
2017-01-30,1.3199999999999998,
2017-01-30,1.33,
2017-02-08,,4.57
2017-02-08,,4.56
2017-03-15,1.8399999999999999,4.84
2017-03-15,1.8399999999999999,4.83
2017-03-15,1.85,4.84
2017-03-15,1.85,4.83
2017-04-24,,4.48
2017-04-24,,4.470000000000001
2017-05-03,1.8199999999999998,
2017-05-03,1.8199999999999998,
2017-05-15,,6.76
2017-05-15,,6.77
2017-05-18,3.23,
2017-05-18,3.24,
2017-06-08,,8.14
2017-06-08,,8.15
2017-06-09,3.92,
2017-06-09,3.92,
2017-07-20,1.74,4.99
2017-07-20,1.74,5.0
2017-07-20,1.75,4.99
2017-07-20,1.75,5.0
2017-08-21,,5.79
2017-08-21,,5.8100000000000005
2017-08-29,1.87,
2017-08-29,1.8900000000000001,
2017-09-13,,4.9
2017-09-13,,4.890000000000001
2017-10-11,1.29,4.14
2017-10-11,1.29,4.1499999999999995
2017-10-11,1.3,4.14
2017-10-11,1.3,4.1499999999999995
2017-11-13,1.31,4.52
2017-11-13,1.31,4.51
2017-11-13,1.3199999999999998,4.52
2017-11-13,1.3199999999999998,4.51
2017-12-28,1.3,
2017-12-28,1.29,
2017-12-29,,4.45
2017-12-29,,4.4399999999999995
2018-01-30,1.79,
2018-01-30,1.79,
2018-01-31,,4.48
2018-01-31,,4.49
2018-03-12,,4.99
2018-03-12,,4.98
2018-03-14,1.31,
2018-03-14,1.3199999999999998,
2018-04-24,,4.22
2018-04-24,,4.21
2018-04-25,2.15,
2018-04-25,2.15,
2018-06-04,,5.82
2018-06-04,,5.81
2018-06-11,2.48,
2018-06-11,2.46,
2018-07-16,,5.9
2018-07-16,,5.88
2018-07-17,3.26,
2018-07-17,3.25,
2018-08-28,2.31,5.46
2018-08-28,2.31,5.46
2018-08-28,2.31,5.46
2018-08-28,2.31,5.46
2018-10-05,,5.83
2018-10-05,,5.83
2018-10-10,3.19,
2018-10-10,3.1799999999999997,
2018-11-15,1.8,3.98
2018-11-15,1.8,3.98
2018-11-15,1.79,3.98
2018-11-15,1.79,3.98
2019-01-31,,4.970000000000001
2019-01-31,,4.98
2019-02-11,1.8,
2019-02-11,1.79,
2019-03-12,2.29,4.1
2019-03-12,2.29,4.109999999999999
2019-03-12,2.3,4.1
2019-03-12,2.3,4.109999999999999
2019-04-23,1.77,4.390000000000001
2019-04-23,1.77,4.38
2019-04-23,1.78,4.390000000000001
2019-04-23,1.78,4.38
2019-05-31,,7.24
2019-05-31,,7.25
2019-06-03,2.5,
2019-06-03,2.49,
2019-06-24,,7.79
2019-06-24,,7.8
2019-06-25,,8.75
2019-06-25,,8.76
2019-06-27,4.85,
2019-06-27,4.85,
2019-07-11,,6.7
2019-07-11,,6.69
2019-08-09,2.49,
2019-08-09,2.48,
2019-08-22,,4.8100000000000005
2019-08-22,,4.82
2019-09-18,1.75,
2019-09-18,1.75,
2019-10-09,,4.36
2019-10-09,,4.38
2019-10-31,1.59,
2019-10-31,1.59,
2019-11-13,,3.97
2019-11-13,,3.98
2019-12-13,1.31,
2019-12-13,1.3199999999999998,
2019-12-20,,3.96
2019-12-20,,3.95
2020-01-29,1.31,4.0
2020-01-29,1.31,4.01
2020-01-29,1.3199999999999998,4.0
2020-01-29,1.3199999999999998,4.01
2020-03-09,1.3199999999999998,
2020-03-09,1.3199999999999998,
2020-03-12,,4.0
2020-03-12,,4.01
2020-04-24,2.1399999999999997,
2020-04-24,2.15,
2020-05-22,,7.9
2020-05-22,,7.89
2020-05-27,3.02,
2020-05-27,3.03,
2020-07-02,,5.42
2020-07-02,,5.43
2020-07-08,2.21,
2020-07-08,2.2199999999999998,
2020-08-14,,4.970000000000001
2020-08-14,,4.970000000000001
2020-08-18,2.0300000000000002,
2020-08-18,2.02,
2020-10-01,,5.07
2020-10-01,,5.07
2020-10-08,1.68,
2020-10-08,1.68,
2020-11-05,1.3199999999999998,
2020-11-05,1.31,
2020-11-18,,4.48
2020-11-18,,4.48
2020-12-15,1.21,
2020-12-15,1.22,
2021-01-06,,4.48
2021-01-06,,4.48
2021-01-21,1.51,
2021-01-21,1.52,
2021-02-18,,4.05
2021-02-18,,4.05
2021-03-04,1.3199999999999998,
2021-03-04,1.31,
2021-04-15,1.81,
2021-04-15,1.8199999999999998,
2021-06-03,1.85,
2021-06-03,1.85,
2021-07-09,2.72,
2021-07-09,2.72,
2021-09-16,1.9100000000000001,
2021-09-16,1.9200000000000002,
2021-09-21,,4.74
2021-09-21,,4.74
2021-10-28,1.8199999999999998,
2021-10-28,1.81,
2021-12-13,1.8199999999999998,
2021-12-13,1.8199999999999998,
2022-01-04,,4.48
2022-01-04,,4.48
2022-01-28,1.8199999999999998,
2022-01-28,1.83,
2022-03-14,1.8199999999999998,
2022-03-14,1.8199999999999998,
2022-04-25,2.62,
2022-04-25,2.6100000000000003,
2022-04-26,,4.38
2022-04-26,,4.38
2022-06-09,2.89,
2022-06-09,2.87,
2022-07-29,2.05,
2022-07-29,2.05,
2022-09-06,1.87,
2022-09-06,1.8900000000000001,
2022-09-19,,5.07
2022-09-19,,5.07
2022-10-24,1.62,
2022-10-24,1.63,
2022-12-19,,
2022-12-19,,
2023-03-03,,3.98
2023-03-03,,3.99
2023-03-06,1.3399999999999999,
2023-03-06,1.35,
2023-04-20,,
2023-04-20,,
2023-04-20,,
2023-04-20,,
2023-06-01,3.2,7.42
2023-06-01,3.2,7.42
2023-06-01,3.19,7.42
2023-06-01,3.19,7.42
2023-07-18,2.4299999999999997,
2023-07-18,2.44,
2023-07-20,,5.69
2023-07-20,,5.7
2023-08-31,1.92,
2023-08-31,1.92,
2023-09-05,,5.1
2023-09-05,,5.1
2023-10-30,,
2023-10-30,,
2023-12-11,2.82,
2023-12-11,2.82,
2023-12-12,,4.45
2023-12-12,,4.46
2024-02-06,,5.54
2024-02-06,,5.55
2024-02-08,1.8199999999999998,
2024-02-08,1.83,
2024-04-16,,
2024-04-16,,
2024-04-16,,
2024-04-16,,
2024-05-14,,
2024-05-14,,
2024-05-14,,
2024-05-14,,
2024-06-03,,
2024-06-03,,
2024-06-03,,
2024-06-03,,
2024-06-25,,
2024-06-25,,
2024-07-16,,
2024-07-16,,
2024-07-16,,
2024-07-16,,
2024-08-07,,
2024-08-07,,
2024-10-08,,
2024-10-08,,
2024-10-08,,
2024-10-08,,
2024-12-13,,
2024-12-13,,
2024-12-13,,
2024-12-13,,
2025-02-12,,
2025-02-12,,
2025-02-12,,
2025-02-12,,
2025-04-08,,
2025-04-08,,
2025-04-08,,
2025-04-08,,
2025-05-23,,
2025-05-23,,
2025-05-23,,
2025-05-23,,
2025-07-22,,4.2700000000000005
2025-07-22,,4.28
2025-07-31,2.17,
2025-07-31,2.15,
2025-08-21,,6.04
2025-08-21,,6.03
2025-08-29,2.81,
2025-08-29,2.8,
2025-09-26,,6.3
2025-09-26,,6.29
2025-11-21,1.79,
2025-11-21,1.79,
2025-12-22,,4.41
2025-12-22,,4.43
